Datetime,Close,High,Low,Open,Volume
2025-02-24 14:30:00+00:00,527.789978,527.9899902,527.4005127,527.9199829,1430003
2025-02-24 14:31:00+00:00,528.1099854,528.1400146,527.6300049,527.7199707,116613
2025-02-24 14:32:00+00:00,528.6550293,529.0689697,528.1099854,528.1300049,180752
2025-02-24 14:33:00+00:00,527.7000122,528.5900269,527.5599976,528.5700073,126880
2025-02-24 14:34:00+00:00,527.539978,527.8496094,527.4400024,527.6500244,107803
2025-02-24 14:35:00+00:00,527.25,527.6900024,527.1306152,527.5900269,173577
2025-02-24 14:36:00+00:00,527.2399902,527.4887695,527.2000122,527.25,192778
2025-02-24 14:37:00+00:00,526.9000244,527.3300171,526.5800171,527.3200073,166670
2025-02-24 14:38:00+00:00,526.9899902,527.3692017,526.8099976,526.8300171,124188
2025-02-24 14:39:00+00:00,526.6300049,527.1887817,526.5449829,527.0161743,175789
2025-02-24 14:40:00+00:00,526.7550049,526.8099976,526.5599976,526.6400146,116392
2025-02-24 14:41:00+00:00,526.6500244,527.0800171,526.4799805,526.7600098,105052
2025-02-24 14:42:00+00:00,526.5184937,526.7600098,526.5,526.6300049,81280
2025-02-24 14:43:00+00:00,526.5250244,526.5700073,526.2199707,526.5300293,186920
2025-02-24 14:44:00+00:00,526.8699951,526.9299927,526.2399902,526.5200195,173354
2025-02-24 14:45:00+00:00,527.09552,527.1500244,526.7600098,526.9299927,160379
2025-02-24 14:46:00+00:00,526.9699707,527.2999878,526.7700195,527.0700073,268139
2025-02-24 14:47:00+00:00,526.8609009,527.130188,526.7600098,526.9224854,76225
2025-02-24 14:48:00+00:00,526.710022,527,526.6500244,526.8599854,80225
2025-02-24 14:49:00+00:00,526.2199707,526.6900024,525.9199829,526.6900024,204357
2025-02-24 14:50:00+00:00,525.9749756,526.2600098,525.7800293,526.2600098,159840
2025-02-24 14:51:00+00:00,525.7000122,526.0800171,525.6500244,525.9592285,190824
2025-02-24 14:52:00+00:00,524.9500122,525.6500244,524.8599854,525.6300049,283792
2025-02-24 14:53:00+00:00,524.4899292,525.0999756,524.3099976,524.9249878,248779
2025-02-24 14:54:00+00:00,524.4949951,524.7299805,524.4000244,524.5100098,291939
2025-02-24 14:55:00+00:00,523.8800049,524.4699707,523.8800049,524.460022,412218
2025-02-24 14:56:00+00:00,524.4000244,524.4500122,523.8200073,523.8499756,232003
2025-02-24 14:57:00+00:00,523.6276245,524.4398804,523.5,524.3900146,242435
2025-02-24 14:58:00+00:00,523.4899902,523.7199707,523.3300171,523.6199951,309286
2025-02-24 14:59:00+00:00,523.3449707,523.6325073,523.2000122,523.4299927,189738
2025-02-24 15:00:00+00:00,523.3900146,523.6500244,523.2199707,523.3400269,382819
2025-02-24 15:01:00+00:00,522.1400146,523.4199829,522.0900269,523.3699951,259639
2025-02-24 15:02:00+00:00,522.289978,522.5800171,522.0999756,522.1400146,287696
2025-02-24 15:03:00+00:00,521.75,522.2700195,521.4699707,522.2700195,529094
2025-02-24 15:04:00+00:00,521.5499878,521.9099731,521.2299805,521.6599731,299250
2025-02-24 15:05:00+00:00,521.2098999,521.7199707,521.1400146,521.5200195,196040
2025-02-24 15:06:00+00:00,520.8599854,521.1970825,520.539978,521.1699829,487129
2025-02-24 15:07:00+00:00,520.4400024,521.1500244,520.189209,520.8800049,257760
